TAG,Species,QUAD,Hectare,XCO,YCO,D15,Size Class15,Size Class by Inch15,Status15,Age15,Age Class15,Density15,AGB15,Carbon15,Basal Area15,Dom15,RFre15,RDom15,RDen15,IV15,Height15,LifeSpan15,D17,Size Class17,Size Class by Inch17,Status17,Age17,Age Class17,Density17,AGB17,Carbon17,Basal Area17,Dom17,RFre17,RDom17,RDen17,IV17,MAXDBH1517,GR1517,Height17,LifeSpan17,D19,Size Class19,Size Class by Inch19,Status19,Age19,Age Class19,Density19,AGB19,Carbon19,Basal Area19,Dom19,RFre19,RDom19,RDen19,IV19,MAXDBH1719,GR1719,Height19,LifeSpan19,D21,Size Class21,Size Class by Inch21,Status21,Age21,Age Class21,Density21,AGB21,Carbon21,Basal Area21,Dom21,RFre21,RDom21,RDen21,IV21,MAXDBH1921,GR1921,Height21,LifeSpan21
2325,SHORL1,1,1,3.9,10.8,22.9,Understory,6-11,Alive,12,Young,9,"9,680.27",0.45,0.2,0.1,"1,800.00",10.15,900,"2,710.15",26.2,0,24.9,Understory,6-11,Alive,14,Young,9,"12,743.28",0.6,0.22,0.11,"1,800.00",11.03,900,"2,711.03",24.90,1,27.4,0,26,Understory,6-11,Alive,16,Young,9,"14,701.05",0.69,0.23,0.12,"1,800.00",11.52,900,"2,711.52",26.00,0.55,28.1,0,27.4,Understory,6-11,Alive,18,Young,9,"17,500.07",0.82,0.24,0.12,"1,800.00",12.14,900,"2,712.14",27.40,0.7,28.9,0
2325A,APORPR,1,1,4,12.7,0,Dead,0,Dead,0,,3.5,0,0,0,0,700,0,350,"1,050.00",0,0,0,Dead,0,Dead,0,Dead,3.5,0,0,0,0,700,0,350,"1,050.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,3.5,0,0,0,0,700,0,350,"1,050.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,3.5,0,0,0,0,700,0,350,"1,050.00",0.00,0,0,0
2325B,GREWMI,1,1,1.6,13.7,23.8,Understory,6-11,Alive,36,Intermediate,6,"7,321.98",0.34,0.21,0.11,"1,200.00",10.55,600,"1,810.55",26.7,0,24.3,Understory,6-11,Alive,38,Intermediate,6,"7,839.66",0.37,0.22,0.11,"1,200.00",10.77,600,"1,810.77",24.30,0.25,27,0,24.8,Understory,6-11,Alive,40,Intermediate,6,"8,383.53",0.39,0.22,0.11,"1,200.00",10.99,600,"1,810.99",24.80,0.25,27.4,0,25.7,Understory,6-11,Alive,42,Intermediate,6,"9,431.17",0.44,0.23,0.11,"1,200.00",11.39,600,"1,811.39",25.70,0.45,27.9,0
2325C,MACALO,1,1,3.6,10.6,11.5,Understory,1-5,Alive,3,Young,17,"2,095.45",0.1,0.1,0.05,"3,400.00",5.1,"1,700.00","5,105.10",16.7,0,11.9,Understory,1-5,Alive,5,Young,17,"2,324.02",0.11,0.11,0.05,"3,400.00",5.27,"1,700.00","5,105.27",11.90,0.2,17.1,0,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",11.90,-5.95,0,0,0,Dead,0,Dead,0,Dead,17,0,0,0,0,"3,400.00",0,"1,700.00","5,100.00",0.00,0,0,0
2326,EUGEPE,1,1,2.3,11.3,0,Dead,0,Dead,0,Dead,0.5,0,0,0,0,100,0,50,150,0,0,0,Dead,0,Dead,0,Dead,0.5,0,0,0,0,100,0,50,150,0.00,0,0,0,0,Dead,0,Dead,0,Dead,0.5,0,0,0,0,100,0,50,150,0.00,0,0,0,0,Dead,0,Dead,0,Dead,0.5,0,0,0,0,100,0,50,150,0.00,0,0,0
2327,RYPAKU,1,1,2.4,18.2,0,Dead,0,Dead,0,Dead,11,0,0,0,0,"2,200.00",0,"1,100.00","3,300.00",0,0,0,Dead,0,Dead,0,Dead,11,0,0,0,0,"2,200.00",0,"1,100.00","3,300.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,11,0,0,0,0,"2,200.00",0,"1,100.00","3,300.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,11,0,0,0,0,"2,200.00",0,"1,100.00","3,300.00",0.00,0,0,0
2328,EUGEDE,1,1,8.3,15.9,0,Dead,0,Dead,0,Dead,3.5,0,0,0,0,700,0,350,"1,050.00",0,6,0,Dead,0,Dead,0,Dead,3.5,0,0,0,0,700,0,350,"1,050.00",0.00,0,0,6,0,Dead,0,Dead,0,Dead,3.5,0,0,0,0,700,0,350,"1,050.00",0.00,0,0,6,0,Dead,0,Dead,0,Dead,3.5,0,0,0,0,700,0,350,"1,050.00",0.00,0,0,6
2328A,AAAAAA,1,1,0,0,0,Dead,0,Dead,0,Dead,6,0,0,0,0,"1,200.00",0,600,"1,800.00",0,0,0,Dead,0,Dead,0,Dead,6,0,0,0,0,"1,200.00",0,600,"1,800.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,6,0,0,0,0,"1,200.00",0,600,"1,800.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,6,0,0,0,0,"1,200.00",0,600,"1,800.00",0.00,0,0,0
2329,IXONIC,1,1,9.2,17.8,40.1,Canopy,12-17,Alive,55,Intermediate,10.5,"74,547.32",3.5,0.36,0.18,"2,100.00",17.77,"1,050.00","3,167.77",34.6,0,0,Dead,0,Dead,0,,10.5,0,0,0,0,"2,100.00",0,"1,050.00","3,150.00",40.10,-20.05,0,0,0,Dead,0,Dead,0,Dead,10.5,0,0,0,0,"2,100.00",0,"1,050.00","3,150.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,10.5,0,0,0,0,"2,100.00",0,"1,050.00","3,150.00",0.00,0,0,0
2329A,APORPE,1,1,6.7,17.6,0,Dead,0,Dead,0,,2.5,0,0,0,0,500,0,250,750,0,0,0,Dead,0,Dead,0,Dead,2.5,0,0,0,0,500,0,250,750,0.00,0,0,0,0,Dead,0,Dead,0,Dead,2.5,0,0,0,0,500,0,250,750,0.00,0,0,0,0,Dead,0,Dead,0,Dead,2.5,0,0,0,0,500,0,250,750,0.00,0,0,0
2329B,APORPE,1,1,0,0,0,Dead,0,Dead,0,Dead,2.5,0,0,0,0,500,0,250,750,0,0,0,Dead,0,Dead,0,Dead,2.5,0,0,0,0,500,0,250,750,0.00,0,0,0,0,Dead,0,Dead,0,Dead,2.5,0,0,0,0,500,0,250,750,0.00,0,0,0,0,Dead,0,Dead,0,Dead,2.5,0,0,0,0,500,0,250,750,0.00,0,0,0
2330,GANUSN,1,1,17.9,12.4,0,Dead,0,Dead,0,Dead,4,0,0,0,0,800,0,400,"1,200.00",0,0,0,Dead,0,Dead,0,Dead,4,0,0,0,0,800,0,400,"1,200.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,4,0,0,0,0,800,0,400,"1,200.00",0.00,0,0,0,0,Dead,0,Dead,0,Dead,4,0,0,0,0,800,0,400,"1,200.00",0.00,0,0,0
