TAG,SP,QUAD,Hectar,D2015,D2017,D2019,GR1517,GR1719,MAX DBH 1517,MAX DBH 1719,IV SP 15,IV SP 17,SP Life Score 15,SP Life Score 17,LifeSpan
2774A,SHORBR,19,H2,25.3,25.9,26.8,0.3,0.45,25.9,26.8,0.67,0.64,0.67,0.67,0
2834,SHORBR,22,H1,31.8,32.7,33.5,0.45,0.4,32.7,33.5,0.67,0.64,0.67,0.67,0
3408,SHORDA,43,H2,93.2,93.2,94.2,0,0.5,93.2,94.2,0.15,0.14,1,1,0
2325,SHORL1,1,H1,22.9,24.9,26,1,0.55,24.9,26,5.07,5.54,0.89,1,0
2395A,SHORL1,4,H1,37.4,38.4,40,0.5,0.8,38.4,40,5.07,5.54,0.89,1,0
2496C,SHORL1,7,H1,0,10.5,12.7,5.25,1.1,10.5,12.7,5.07,5.54,0.89,1,0
2498C,SHORL1,7,H1,14.8,17.3,19.5,1.25,1.1,17.3,19.5,5.07,5.54,0.89,1,15
2507A,SHORL1,8,H1,21.3,23.9,26.8,1.3,1.45,23.9,26.8,5.07,5.54,0.89,1,0
2515A,SHORL1,8,H1,12.1,12.4,17.2,0.15,2.4,12.4,17.2,5.07,5.54,0.89,1,0
2515B,SHORL1,8,H1,16.1,18.9,0,1.4,-9.45,18.9,18.9,5.07,5.54,0.89,1,0
2515C,SHORL1,8,H1,0,11.5,13.2,5.75,0.85,11.5,13.2,5.07,5.54,0.89,1,6
2522,SHORL1,9,H1,45.3,47.5,49.7,1.1,1.1,47.5,49.7,5.07,5.54,0.89,1,0
2636A,SHORL1,13,H1,15,18,21.3,1.5,1.65,18,21.3,5.07,5.54,0.89,1,0
2805A,SHORL1,21,H1,30.5,34.4,37.7,1.95,1.65,34.4,37.7,5.07,5.54,0.89,1,0
2862,SHORL1,23,H1,49.4,50.7,51.4,0.65,0.35,50.7,51.4,5.07,5.54,0.89,1,0
3290A,SHORL1,39,H1,19,19.8,22,0.4,1.1,19.8,22,5.07,5.54,0.89,1,0
3425A,SHORL1,44,H2,15,15.9,17.3,0.45,0.7,15.9,17.3,5.07,5.54,0.89,1,5
3425B,SHORL1,44,H2,18,20,21.6,1,0.8,20,21.6,5.07,5.54,0.89,1,11
3503A,SHORL1,47,H2,17,17.2,18.5,0.1,0.65,17.2,18.5,5.07,5.54,0.89,1,0
3512,SHORL1,47,H2,62.5,63.7,64.2,0.6,0.25,63.7,64.2,5.07,5.54,0.89,1,0
3561D,SHORL1,50,H2,24.5,27.2,30.8,1.35,1.8,27.2,30.8,5.07,5.54,0.89,1,0
2741A,SHORL2,18,H1,57.3,58.7,61.8,0.7,1.55,58.7,61.8,1.58,1.38,0.71,0.57,5
2908,SHORL2,24,H1,95.8,95.8,96.7,0,0.45,95.8,96.7,1.58,1.38,0.71,0.57,0
2963,SHORL2,26,H1,38.8,0,0,-19.4,0,38.8,0,1.58,1.38,0.71,0.57,0
3072A,SHORL2,31,H2,70.9,70.9,71.6,0,0.35,70.9,71.6,1.58,1.38,0.71,0.57,0
3281B,SHORL2,38,H2,34.4,36.1,39,0.85,1.45,36.1,39,1.58,1.38,0.71,0.57,0
2330D,SHORM1,1,H2,11.7,12.9,13.6,0.6,0.35,12.9,13.6,6.78,6.86,0.71,0.76,0
2342,SHORM1,2,H1,61.5,61.7,62.6,0.1,0.45,61.7,62.6,6.78,6.86,0.71,0.76,0
2389C,SHORM1,4,H1,11.2,12.5,13.8,0.65,0.65,12.5,13.8,6.78,6.86,0.71,0.76,6
2718,SHORM1,17,H1,23.8,24.2,24.9,0.2,0.35,24.2,24.9,6.78,6.86,0.71,0.76,0
2729,SHORM1,17,H1,26.2,26.8,27.8,0.3,0.5,26.8,27.8,6.78,6.86,0.71,0.76,0
2771,SHORM1,19,H1,24.5,24.5,24.4,0,-0.05,24.5,24.5,6.78,6.86,0.71,0.76,5
2775B,SHORM1,19,H1,10.8,10.9,10.9,0.05,0,10.9,10.9,6.78,6.86,0.71,0.76,10
2860,SHORM1,23,H1,25.7,25.7,25.7,0,0,25.7,25.7,6.78,6.86,0.71,0.76,0
2867B,SHORM1,23,H1,18.5,18.9,19.3,0.2,0.2,18.9,19.3,6.78,6.86,0.71,0.76,5
2901,SHORM1,24,H1,28.4,28.3,28.5,-0.05,0.1,28.4,28.5,6.78,6.86,0.71,0.76,0
2906,SHORM1,24,H1,14.2,14.5,14.7,0.15,0.1,14.5,14.7,6.78,6.86,0.71,0.76,20
2923,SHORM1,25,H1,17.4,18.5,19.2,0.55,0.35,18.5,19.2,6.78,6.86,0.71,0.76,0
2933A,SHORM1,25,H1,11.6,12.2,12.5,0.3,0.15,12.2,12.5,6.78,6.86,0.71,0.76,0
2987A,SHORM1,27,H1,30.8,31,33.5,0.1,1.25,31,33.5,6.78,6.86,0.71,0.76,0
3023A,SHORM1,29,H2,20.1,20.8,21.7,0.35,0.45,20.8,21.7,6.78,6.86,0.71,0.76,0
3034A,SHORM1,29,H2,28.3,30,31.5,0.85,0.75,30,31.5,6.78,6.86,0.71,0.76,8
3034B,SHORM1,29,H2,0,10.7,10.8,5.35,0.05,10.7,10.8,6.78,6.86,0.71,0.76,0
3042A,SHORM1,29,H2,14,14.3,0,0.15,-7.15,14.3,14.3,6.78,6.86,0.71,0.76,5
3067A,SHORM1,30,H2,17.8,18.4,19.4,0.3,0.5,18.4,19.4,6.78,6.86,0.71,0.76,0
3090B,SHORM1,32,H2,17.8,19.7,21.2,0.95,0.75,19.7,21.2,6.78,6.86,0.71,0.76,0
3094A,SHORM1,32,H2,15.1,16.8,18.1,0.85,0.65,16.8,18.1,6.78,6.86,0.71,0.76,0
3094B,SHORM1,32,H2,11.8,13,13.8,0.6,0.4,13,13.8,6.78,6.86,0.71,0.76,0
3094C,SHORM1,32,H2,11.7,12.3,13,0.3,0.35,12.3,13,6.78,6.86,0.71,0.76,0
3098A,SHORM1,32,H2,18.3,20.4,22.2,1.05,0.9,20.4,22.2,6.78,6.86,0.71,0.76,13
3108A,SHORM1,32,H2,0,10.8,12.4,5.4,0.8,10.8,12.4,6.78,6.86,0.71,0.76,11
3114A,SHORM1,32,H2,15.6,16.6,18.2,0.5,0.8,16.6,18.2,6.78,6.86,0.71,0.76,0
3134A,SHORM1,33,H2,0,13.2,13.8,6.6,0.3,13.2,13.8,6.78,6.86,0.71,0.76,6
3159A,SHORM1,34,H2,10.5,11.2,12.2,0.35,0.5,11.2,12.2,6.78,6.86,0.71,0.76,5
3188B,SHORM1,35,H2,15.8,16.5,16.9,0.35,0.2,16.5,16.9,6.78,6.86,0.71,0.76,7
3506A,SHORM1,47,H2,22.8,23.2,23.6,0.2,0.2,23.2,23.6,6.78,6.86,0.71,0.76,8
3495A,SHORM1,48,H2,21.8,21.6,21.9,-0.1,0.15,21.8,21.9,6.78,6.86,0.71,0.76,15
3533B,SHORM1,48,H2,27.2,28.5,30,0.65,0.75,28.5,30,6.78,6.86,0.71,0.76,11
3560,SHORM1,50,H2,57.9,0,0,-28.95,0,57.9,0,6.78,6.86,0.71,0.76,0
2478,SHORM2,7,H1,0,34.1,35.2,17.05,0.55,34.1,35.2,4.83,5.25,0.57,0.61,0
2506A,SHORM2,8,H1,12.2,12.5,12.5,0.15,0,12.5,12.5,4.83,5.25,0.57,0.61,11
2596,SHORM2,12,H1,18.7,18.5,18.8,-0.1,0.15,18.7,18.8,4.83,5.25,0.57,0.61,15
2649C,SHORM2,14,H1,14.8,15.2,16.5,0.2,0.65,15.2,16.5,4.83,5.25,0.57,0.61,0
2679,SHORM2,15,H1,16.1,15.9,16.2,-0.1,0.15,16.1,16.2,4.83,5.25,0.57,0.61,15
2737A,SHORM2,18,H1,13.8,14.1,15,0.15,0.45,14.1,15,4.83,5.25,0.57,0.61,15
2745,SHORM2,18,H1,93.2,93.3,93.8,0.05,0.25,93.3,93.8,4.83,5.25,0.57,0.61,0
2851,SHORM2,22,H1,45,47.1,50.4,1.05,1.65,47.1,50.4,4.83,5.25,0.57,0.61,15
2889,SHORM2,24,H1,24,24.1,24.2,0.05,0.05,24.1,24.2,4.83,5.25,0.57,0.61,15
2966,SHORM2,27,H1,25.6,25.9,27.1,0.15,0.6,25.9,27.1,4.83,5.25,0.57,0.61,15
2974,SHORM2,27,H2,31.5,32,32.8,0.25,0.4,32,32.8,4.83,5.25,0.57,0.61,15
3002,SHORM2,28,H2,14.7,14.7,14.8,0,0.05,14.7,14.8,4.83,5.25,0.57,0.61,15
3023B,SHORM2,29,H2,29.9,31.1,32.5,0.6,0.7,31.1,32.5,4.83,5.25,0.57,0.61,15
3266,SHORM2,38,H2,53,53,54.1,0,0.55,53,54.1,4.83,5.25,0.57,0.61,15
3294A,SHORM2,39,H2,11.5,12.5,13.6,0.5,0.55,12.5,13.6,4.83,5.25,0.57,0.61,15
3296C,SHORM2,39,H2,11.2,11.2,11.1,0,-0.05,11.2,11.2,4.83,5.25,0.57,0.61,15
3346B,SHORM2,41,H2,10.2,10.5,10.9,0.15,0.2,10.5,10.9,4.83,5.25,0.57,0.61,6
3087A,SHORMA,31,H2,0,14.7,15.9,7.35,0.6,14.7,15.9,0,0.14,0,1,0
2389D,SHOROV,4,H2,40.9,42.6,44.3,0.85,0.85,42.6,44.3,1.05,1.55,0.75,0.75,0
2698A,SHOROV,16,H1,36.6,38.3,39.8,0.85,0.75,38.3,39.8,1.05,1.55,0.75,0.75,6
3130B,SHOROV,33,H1,13.1,14.9,15.7,0.9,0.4,14.9,15.7,1.05,1.55,0.75,0.75,0
2349C,SHORP1,2,H2,10.8,11.8,11.7,0.5,-0.05,11.8,11.8,3.47,4.43,0.63,0.75,0
2410B,SHORP1,4,H1,0,11.5,11.8,5.75,0.15,11.5,11.8,3.47,4.43,0.63,0.75,0
2478B,SHORP1,7,H1,0,13.6,14.6,6.8,0.5,13.6,14.6,3.47,4.43,0.63,0.75,0
2500,SHORP1,8,H1,42.3,42.5,42.9,0.1,0.2,42.5,42.9,3.47,4.43,0.63,0.75,0
2516A,SHORP1,8,H1,0,11.9,13.7,5.95,0.9,11.9,13.7,3.47,4.43,0.63,0.75,0
2575A,SHORP1,11,H1,27.2,29.1,30.5,0.95,0.7,29.1,30.5,3.47,4.43,0.63,0.75,0
2677D,SHORP1,15,H1,14.5,13.3,15.5,-0.6,1.1,14.5,15.5,3.47,4.43,0.63,0.75,11
3042B,SHORP1,29,H1,13.9,13.9,0,0,-6.95,13.9,13.9,3.47,4.43,0.63,0.75,15
3074B,SHORP1,31,H2,21.6,21,0,-0.3,-10.5,21.6,21,3.47,4.43,0.63,0.75,15
3077A,SHORP1,31,H2,16.5,17.3,15.9,0.4,-0.7,17.3,17.3,3.47,4.43,0.63,0.75,15
3079C,SHORP1,31,H2,11.3,11.3,11.6,0,0.15,11.3,11.6,3.47,4.43,0.63,0.75,15
3242B,SHORP1,37,H2,30.1,31.2,31,0.55,-0.1,31.2,31.2,3.47,4.43,0.63,0.75,15
3359A,SHORP1,42,H2,18.2,19.5,21.2,0.65,0.85,19.5,21.2,3.47,4.43,0.63,0.75,15
3404A,SHORP1,43,H2,16.7,17,17.5,0.15,0.25,17,17.5,3.47,4.43,0.63,0.75,15
3529A,SHORP1,48,H2,31.9,33.4,35,0.75,0.8,33.4,35,3.47,4.43,0.63,0.75,15
3546D,SHORP1,49,H2,11.5,11.9,0,0.2,-5.95,11.9,11.9,3.47,4.43,0.63,0.75,15
3547B,SHORP1,49,H2,39.1,42.3,45,1.6,1.35,42.3,45,3.47,4.43,0.63,0.75,15
3551A,SHORP1,49,H2,45.5,47.5,48.8,1,0.65,47.5,48.8,3.47,4.43,0.63,0.75,15
2331B,SHORP2,1,H1,0,12.8,12.9,6.4,0.05,12.8,12.9,3.02,3.92,0.61,0.65,15
2389A,SHORP2,4,H1,14.1,15.4,16.8,0.65,0.7,15.4,16.8,3.02,3.92,0.61,0.65,15
2427,SHORP2,5,H1,44.4,45.7,47,0.65,0.65,45.7,47,3.02,3.92,0.61,0.65,15
2430,SHORP2,5,H1,40.9,42.3,43.6,0.7,0.65,42.3,43.6,3.02,3.92,0.61,0.65,15
2777C,SHORP2,19,H1,10.5,11.7,10.5,0.6,-0.6,11.7,11.7,3.02,3.92,0.61,0.65,15
2794,SHORP2,20,H1,22.2,22.9,24.5,0.35,0.8,22.9,24.5,3.02,3.92,0.61,0.65,15
2926,SHORP2,25,H1,63.5,64.8,67.3,0.65,1.25,64.8,67.3,3.02,3.92,0.61,0.65,15
3074A,SHORP2,31,H1,15.1,16.2,16.4,0.55,0.1,16.2,16.4,3.02,3.92,0.61,0.65,15
3094D,SHORP2,32,H2,12.7,13.8,14.9,0.55,0.55,13.8,14.9,3.02,3.92,0.61,0.65,15
3098C,SHORP2,32,H2,21.2,24.8,28.1,1.8,1.65,24.8,28.1,3.02,3.92,0.61,0.65,15
3104A,SHORP2,32,H2,12.8,13.9,0,0.55,-6.95,13.9,13.9,3.02,3.92,0.61,0.65,15
3134,SHORP2,33,H2,95.2,95.4,96.7,0.1,0.65,95.4,96.7,3.02,3.92,0.61,0.65,15
3353,SHORP2,42,H2,35.3,35.7,37.2,0.2,0.75,35.7,37.2,3.02,3.92,0.61,0.65,0
3402A,SHORP2,43,H2,12.8,12.8,12.8,0,0,12.8,12.8,3.02,3.92,0.61,0.65,0
3410A,SHORP2,43,H2,11.3,11.8,12.5,0.25,0.35,11.8,12.5,3.02,3.92,0.61,0.65,7
3003B,SINDEC,28,H2,18.4,18.8,19.4,0.2,0.3,18.8,19.4,0.3,0.29,1,1,0
3150A,SINDEC,34,H2,15,15.7,16.4,0.35,0.35,15.7,16.4,0.3,0.29,1,1,0
2817,SINDVE,21,H2,72.7,71.9,72.6,-0.4,0.35,72.7,72.6,0.44,0.43,1,1,0
3365B,SINDVE,42,H1,12.9,13,13.4,0.05,0.2,13,13.4,0.44,0.43,1,1,45
3385A,SINDVE,43,H2,10.6,11,11.3,0.2,0.15,11,11.3,0.44,0.43,1,1,0
2714,SINDWA,17,H2,44.6,44.9,45,0.15,0.05,44.9,45,1.1,1.05,1,1,0
2795A,SINDWA,20,H1,31.3,32.8,34.5,0.75,0.85,32.8,34.5,1.1,1.05,1,1,5
2967C,SINDWA,27,H1,14,14.9,15.2,0.45,0.15,14.9,15.2,1.1,1.05,1,1,0
2913,STERPA,25,H1,21.5,22.1,22.8,0.3,0.35,22.1,22.8,0.15,0.14,0.5,0.5,0
2657C,STYRBE,14,H1,17.8,19.6,19,0.9,-0.3,19.6,19.6,0.41,0.41,1,1,5
2971A,SYMPAD,27,H1,17.3,17.4,17.4,0.05,0,17.4,17.4,0.15,0.14,1,1,5
2671,TEIJCO,15,H2,55.9,60,52.3,2.05,-3.85,60,60,1.32,0.56,0.67,0.67,0
2677B,TEIJCO,15,H1,14.1,14,14,-0.05,0,14.1,14,1.32,0.56,0.67,0.67,11
2909,TIMOWA,24,H2,14.1,14.1,13.9,0,-0.1,14.1,14.1,0.3,0.29,0.67,0.67,0
3546E,TIMOWA,49,H2,11.6,11.9,12.2,0.15,0.15,11.9,12.2,0.3,0.29,0.67,0.67,0
3399,TRI1HY,43,H2,27.2,27.5,28.3,0.15,0.4,27.5,28.3,0.15,0.14,1,1,0
2634A,TRI3LA,13,H1,11.5,11.5,11.4,0,-0.05,11.5,11.5,0.32,0.3,0.5,0.5,9
2496B,TRI3MA,7,H1,10.9,12.4,14.1,0.75,0.85,12.4,14.1,0.32,0.46,1,1,5
3088B,TRI3MA,31,H1,11.2,11.6,12.1,0.2,0.25,11.6,12.1,0.32,0.46,1,1,0
2604A,TRIOMA,12,H2,16,17.8,19.3,0.9,0.75,17.8,19.3,0.53,0.53,1,1,0
3530A,TRIOMA,48,H1,18.1,18.8,19.4,0.35,0.3,18.8,19.4,0.53,0.53,1,1,0
2417,VATIBE,5,H2,20.7,0,0,-10.35,0,20.7,0,1.41,1.19,0.55,0.45,0
2662,VATIBE,15,H1,15.1,15.3,15.3,0.1,0,15.3,15.3,1.41,1.19,0.55,0.45,0
2734,VATIBE,18,H1,18.2,18.7,19,0.25,0.15,18.7,19,1.41,1.19,0.55,0.45,0
3158,VATIBE,34,H1,17.7,18.2,18.2,0.25,0,18.2,18.2,1.41,1.19,0.55,0.45,0
3546B,VATIBE,49,H2,14.5,15.3,15.3,0.4,0,15.3,15.3,1.41,1.19,0.55,0.45,0
3555C,VATIBE,50,H2,10.3,10.7,11.1,0.2,0.2,10.7,11.1,1.41,1.19,0.55,0.45,0
2677E,VATIOD,15,H2,16.8,11.7,11.7,-2.55,0,16.8,11.7,0.39,0.3,1,1,9
2590A,XANTAF,11,H1,10.5,10.6,10.7,0.05,0.05,10.6,10.7,0.17,0.17,0.5,0.5,10
2401,XANTEU,4,H1,14.8,14.9,14.8,0.05,-0.05,14.9,14.9,3.35,3.25,0.47,0.5,0
2451,XANTEU,6,H1,17.6,17.6,17.7,0,0.05,17.6,17.7,3.35,3.25,0.47,0.5,0
2502,XANTEU,8,H1,18.5,0,0,-9.25,0,18.5,0,3.35,3.25,0.47,0.5,0
2683,XANTEU,16,H1,14.5,14.5,14.4,0,-0.05,14.5,14.5,3.35,3.25,0.47,0.5,5
2685,XANTEU,16,H1,11.9,11.8,11.9,-0.05,0.05,11.9,11.9,3.35,3.25,0.47,0.5,9
2723,XANTEU,17,H1,0,9.9,0,4.95,-4.95,9.9,9.9,3.35,3.25,0.47,0.5,0
2822,XANTEU,21,H1,12.5,12.5,12.3,0,-0.1,12.5,12.5,3.35,3.25,0.47,0.5,4
2898A,XANTEU,24,H1,0,12.8,13.2,6.4,0.2,12.8,13.2,3.35,3.25,0.47,0.5,27
2998,XANTEU,28,H2,15.8,16,15.7,0.1,-0.15,16,16,3.35,3.25,0.47,0.5,0
2998A,XANTEU,28,H2,11.3,11.4,11.2,0.05,-0.1,11.4,11.4,3.35,3.25,0.47,0.5,0
3041,XANTEU,29,H2,12.5,12.5,12.6,0,0.05,12.5,12.6,3.35,3.25,0.47,0.5,0
3090,XANTEU,32,H2,13.2,13.1,13,-0.05,-0.05,13.2,13.1,3.35,3.25,0.47,0.5,0
3182B,XANTEU,35,H2,11.5,11.6,11.6,0.05,0,11.6,11.6,3.35,3.25,0.47,0.5,0
3131,XANTEU,38,H2,16.9,16.9,17,0,0.05,16.9,17,3.35,3.25,0.47,0.5,0
3338,XANTEU,41,H2,12.6,12.8,14.4,0.1,0.8,12.8,14.4,3.35,3.25,0.47,0.5,0
3355,XANTEU,42,H2,13.5,13.8,13.8,0.15,0,13.8,13.8,3.35,3.25,0.47,0.5,0
3398,XANTEU,43,H2,14.1,13.7,0,-0.2,-6.85,14.1,13.7,3.35,3.25,0.47,0.5,0
3098B,XANTGR,32,H2,13.1,13.4,13.6,0.15,0.1,13.4,13.6,0.15,0.29,0.13,0.25,0
3405,XANTGR,43,H2,0,28,29.1,14,0.55,28,29.1,0.15,0.29,0.13,0.25,11
2441A,XANTRU,6,H2,14.5,14.5,14.5,0,0,14.5,14.5,1.45,1.25,0.75,0.63,0
2736,XANTRU,18,H1,24,24,24,0,0,24,24,1.45,1.25,0.75,0.63,0
2827B,XANTRU,21,H1,10.2,10.3,10.4,0.05,0.05,10.3,10.4,1.45,1.25,0.75,0.63,9
2994,XANTRU,23,H1,22.7,23.1,23.9,0.2,0.4,23.1,23.9,1.45,1.25,0.75,0.63,0
3030,XANTRU,29,H1,31,31.1,32,0.05,0.45,31.1,32,1.45,1.25,0.75,0.63,11
3114,XANTRU,32,H2,31.5,0,0,-15.75,0,31.5,0,1.45,1.25,0.75,0.63,0
2676,XANTST,15,H2,42.6,44.1,45.5,0.75,0.7,44.1,45.5,1.36,1.33,0.71,0.71,0
3166,XANTST,34,H1,56.7,58.7,59.9,1,0.6,58.7,59.9,1.36,1.33,0.71,0.71,0
3233A,XANTST,37,H2,22.5,23.8,0,0.65,-11.9,23.8,23.8,1.36,1.33,0.71,0.71,11
3341,XANTST,41,H2,16.7,16.6,16.3,-0.05,-0.15,16.7,16.6,1.36,1.33,0.71,0.71,0
3343,XANTST,41,H2,65.4,64.5,0,-0.45,-32.25,65.4,64.5,1.36,1.33,0.71,0.71,0
2335A,XERONO,1,H2,13.1,13.2,13.3,0.05,0.05,13.2,13.3,2.5,2.42,0.57,0.57,7
2763,XERONO,19,H1,24.3,25.2,25.1,0.45,-0.05,25.2,25.2,2.5,2.42,0.57,0.57,0
2775A,XERONO,19,H1,12,12.1,12.4,0.05,0.15,12.1,12.4,2.5,2.42,0.57,0.57,0
2935C,XERONO,25,H1,12.8,12.9,11.3,0.05,-0.8,12.9,12.9,2.5,2.42,0.57,0.57,0
3158A,XERONO,34,H2,14.6,15.2,15.7,0.3,0.25,15.2,15.7,2.5,2.42,0.57,0.57,11
3165,XERONO,34,H2,20.9,21.5,21.7,0.3,0.1,21.5,21.7,2.5,2.42,0.57,0.57,9
3171,XERONO,35,H2,19.8,20.6,20.9,0.4,0.15,20.6,20.9,2.5,2.42,0.57,0.57,0
3182A,XERONO,35,H2,22.6,23.1,23.3,0.25,0.1,23.1,23.3,2.5,2.42,0.57,0.57,0
3197B,XERONO,35,H2,15.4,16.2,16.4,0.4,0.1,16.2,16.4,2.5,2.42,0.57,0.57,0
3416,XERONO,44,H2,24,24.5,25.5,0.25,0.5,24.5,25.5,2.5,2.42,0.57,0.57,0
3436B,XERONO,45,H2,16.3,16.3,16.3,0,0,16.3,16.3,2.5,2.42,0.57,0.57,5
3529B,XERONO,48,H2,11.6,11.9,12.1,0.15,0.1,11.9,12.1,2.5,2.42,0.57,0.57,13
3460C,XYLOCA,46,H2,21.6,22.8,23.9,0.6,0.55,22.8,23.9,0.15,0.14,1,1,0
3374,XYLOFS,42,H1,19.2,0,0,-9.6,0,19.2,0,0.3,0.14,0.4,0.2,0
3558,XYLOFS,50,H2,29.9,29.3,29.6,-0.3,0.15,29.9,29.6,0.3,0.14,0.4,0.2,0
2330A,XYLOM1,1,H1,26.6,0,0,-13.3,0,26.6,0,0.54,0,0.33,0,0
2339B,XYLOM2,1,H2,14.6,16.5,14.6,0.95,-0.95,16.5,16.5,0.51,0.51,0.33,0.33,0
3497A,XYLOM2,47,H2,10.8,13.1,13.2,1.15,0.05,13.1,13.2,0.51,0.51,0.33,0.33,0
