Predicted DBH for 2019,Actual DBH for 2019
-0.05626377122307247,0.0
13.923431913890594,14.0
-0.018942097397808055,0.0
32.75347203069568,32.8
33.65710087397761,33.7
13.610467222532229,13.6
10.7727851678762,10.8
10.766515751993865,10.8
10.767041840463355,10.8
11.854165840583862,11.9
20.339449375527966,20.4
21.86217147349822,21.9
28.099165270057867,28.1
12.605473619173612,12.6
10.807876073794922,10.8
14.203445998043494,14.2
14.703058186104695,14.7
14.610450218402242,14.6
13.410253215899951,13.4
15.608205664796778,15.6
11.112591017526073,11.1
13.010681669235693,13.0
16.46249145205547,16.5
24.150112583801523,24.2
18.95458862322334,19.0
11.46738845572046,11.5
13.059883833411458,13.1
21.857296363395857,21.9
30.150315297778114,30.2
27.452372282605644,27.5
0.01730668599110885,0.0
19.469781762945857,19.5
12.169883416154645,12.2
13.46870073890019,13.5
11.271065375048405,11.3
0.010253523959452338,0.0
0.010253523959452338,0.0
0.002268787787990334,0.0
10.727697150936788,10.8
19.130378986582052,19.2
12.83584470325204,12.9
21.672525167784283,21.7
33.156610235216974,33.2
33.55653441681202,33.6
23.67113715363453,23.7
50.05215936838231,50.1
13.082246008963835,13.1
-0.0019879085993750323,0.0
26.367620671588003,26.4
14.658322912839072,14.7
20.529664875174507,20.6
12.00443886414107,12.0
12.387203617496546,12.4
14.8960524440548,14.9
10.705654562209814,10.7
14.36636636517856,14.4
12.262643736504689,12.3
12.361634280022162,12.4
13.44863880503883,13.5
10.363730816119826,10.4
11.862486738173795,11.9
13.81039101086313,13.8
13.205671702411347,13.2
14.510268186868652,14.5
25.611896014911807,25.7
11.518576470861834,11.6
-0.009284884808803184,0.0
17.435831843828378,17.5
22.431051091945932,22.5
15.336937605673631,15.4
12.241091505242377,12.3
17.335820597066174,17.4
25.635958746277446,25.7
19.14200021463978,19.2
16.54229551621092,16.6
12.715595794215522,12.7
18.70063818847592,18.7
14.002843319363606,14.0
15.169673192350698,15.2
0.01018735316390007,0.0
15.109497047021074,15.1
14.589801260022963,14.6
34.17326454960798,34.2
15.689089117661307,15.7
30.275750966616048,30.3
15.888429206614678,15.9
15.289657964483485,15.3
11.213943970813851,11.2
12.006536750871827,12.0
20.021673789750892,20.1
28.333547652256936,28.4
29.16477956450454,29.2
0.006577804386388664,0.0
32.752919511247,32.8
18.65978892711262,18.7
20.962628718389503,21.0
10.668193443526325,10.7
12.960320583867055,13.0
-0.010985620126628959,0.0
10.555441918623652,10.6
13.725852543027274,13.8
16.951214865354064,17.0
13.154431315550934,13.2
17.956043447074883,18.0
18.853124456075626,18.9
40.734596314759386,40.8
18.20751215058946,18.2
28.581789035101227,28.6
17.19223506637246,17.2
24.185760802782347,24.2
0.08191360841729178,0.0
11.697304258067103,11.7
20.095341146885282,20.1
53.36521765868642,53.4
12.937196141769157,13.0
50.90918215450914,51.0
0.0018152589156876786,0.0
49.11046532738531,49.2
15.211110431578028,15.2
15.504013046997827,15.5
13.372019407612319,13.4
46.94229535331932,47.0
11.256483216469835,11.3
24.545298347079502,24.6
-0.005065458317005778,0.0
36.14092783982517,36.2
-0.01704937581822108,0.0
0.06180388766634337,0.0
15.70398530441315,15.7
32.09948183163668,32.1
0.03921877147169894,0.0
18.414003462312483,18.5
-0.04506789124955546,0.0
12.314264995858212,12.3
26.3363434867318,26.4
13.447962760421515,13.5
22.14403841056694,22.2
11.45527496837937,11.5
0.0009202470352285275,0.0
13.453475555200882,13.5
10.447198895694644,10.5
17.650519585583528,17.7
22.74569600041502,22.8
11.913206324364907,11.9
11.114237154756255,11.1
0.035415571273773594,0.0
25.266357235855786,25.3
22.07020929508737,22.1
0.020982226240764845,0.0
0.01495848572771763,0.0
24.413034213566338,24.5
54.87533546653205,54.9
10.789546152614959,10.8
0.027927504928495495,0.0
22.747592560251913,22.8
61.61137736518745,61.7
12.461687928640282,12.5
13.460220093589566,13.5
15.159774220500724,15.2
12.307425945445061,12.3
10.915373553785784,11.0
20.63419999157382,20.7
16.522370473593128,16.6
-0.0033695097981123467,0.0
-0.0256707311451585,0.0
-0.015454634551868907,0.0
34.324041385929085,34.4
34.43095521211487,34.5
13.479819465460643,13.5
14.185055100558316,14.2
13.085287273191195,13.1
13.87817678476191,13.9
15.270986472384635,15.3
36.491535552680865,36.5
13.954858734281096,14.0
16.090814910009847,16.1
23.179072289231605,23.2
0.02367979993543301,0.0
12.38923833413746,12.4
14.886989067664343,14.9
14.886381763137567,14.9
21.78038928120246,21.8
12.088799724166327,12.1
0.0017734736380603522,0.0
14.975376708801681,15.0
12.977163063291737,13.0
11.169503103615003,11.2
13.976567008965883,14.0
10.170174257985117,10.2
13.664103013226908,13.7
0.017172961066560077,0.0
15.974565160945126,16.0
11.9779419644272,12.0
17.47308973746457,17.5
12.177647746999781,12.2
11.352523484672925,11.4
12.435239630565853,12.5
13.444824183136959,13.5
11.736532241716697,11.8
10.53758724344824,10.6
21.037878666293338,21.1
12.146284395277942,12.2
16.23335011173156,16.3
16.732622723550413,16.8
-0.0032175438089900865,0.0
20.943615295873855,21.0
20.10721589652693,20.1
11.023813669177594,11.1
10.475117622542932,10.5
16.011279541871772,16.0
33.03147158579462,33.1
-0.013002714038751861,0.0
11.150451734168255,11.2
13.612642866159897,13.6
23.79697459455014,23.8
60.0657812719237,60.1
0.043173044741241284,0.0
28.593939182675356,28.6
18.302807820204293,18.3
50.483062460670645,50.5
24.403028310287304,24.4
14.812746238455414,14.8
20.006954372558898,20.0
23.746194065231133,23.8
38.239134554851,38.3
14.186070232099635,14.2
11.694447993046827,11.7
21.480142060107696,21.5
21.685259685176828,21.7
19.96324570580073,20.0
11.871404470666981,11.9
14.168662438587855,14.2
17.065844325292566,17.1
-0.0016737192465328121,0.0
18.764611947010014,18.8
-0.013309901565659032,0.0
18.364126166297726,18.4
22.658174290271898,22.7
10.272204315100206,10.3
17.265426025153506,17.3
0.022263907057887167,0.0
18.96414141211721,19.0
21.06366680734811,21.1
20.86224912278804,20.9
20.263161169705015,20.3
12.670322180079337,12.7
10.661618120158018,10.7
19.27011677926635,19.3
18.470022430802732,18.5
13.674671166164579,13.7
14.173979327869189,14.2
14.573929626841094,14.6
11.17679272374649,11.2
14.673359686453395,14.7
0.024747238175461206,0.0
30.759338792335413,30.8
12.582909523107427,12.6
20.268733102675554,20.3
14.846614639650245,14.9
